force,height,species,species_int,cp,hn,lb,force_cent,height_cent
3.2,5,Hn,2,0,1,0,-8.934210526315790,-3.8131578947368400
6.4,6,Hn,2,0,1,0,-5.734210526315790,-2.8131578947368400
2,6.4,Hn,2,0,1,0,-10.134210526315800,-2.413157894736840
2,6.5,Hn,2,0,1,0,-10.134210526315800,-2.3131578947368400
4.9,6.6,Hn,2,0,1,0,-7.234210526315790,-2.2131578947368400
3,7,Hn,2,0,1,0,-9.134210526315790,-1.8131578947368400
2.9,7.9,Hn,2,0,1,0,-9.234210526315790,-0.9131578947368410
9.5,7.9,Hn,2,0,1,0,-2.6342105263157900,-0.9131578947368410
4,8,Hn,2,0,1,0,-8.134210526315790,-0.8131578947368410
3.4,8.2,Hn,2,0,1,0,-8.734210526315790,-0.6131578947368420
7.4,8.3,Hn,2,0,1,0,-4.734210526315790,-0.5131578947368410
2.4,8.8,Hn,2,0,1,0,-9.734210526315790,-0.013157894736840700
4,12.1,Hn,2,0,1,0,-8.134210526315790,3.2868421052631600
5.2,12.2,Hn,2,0,1,0,-6.9342105263157900,3.386842105263160
2.1,5.1,Lb,3,0,0,1,-10.034210526315800,-3.7131578947368400
8.7,5.9,Lb,3,0,0,1,-3.4342105263157900,-2.913157894736840
2.9,6.6,Lb,3,0,0,1,-9.234210526315790,-2.2131578947368400
6.9,7.2,Lb,3,0,0,1,-5.234210526315790,-1.6131578947368400
8.7,8.6,Lb,3,0,0,1,-3.4342105263157900,-0.21315789473684200
15.1,7.9,Lb,3,0,0,1,2.965789473684210,-0.9131578947368410
14.6,8.1,Lb,3,0,0,1,2.465789473684210,-0.7131578947368420
17.6,9.6,Lb,3,0,0,1,5.465789473684210,0.7868421052631580
20.6,10.2,Lb,3,0,0,1,8.465789473684210,1.3868421052631600
19.6,10.5,Lb,3,0,0,1,7.465789473684210,1.6868421052631600
27.4,8.2,Lb,3,0,0,1,15.26578947368420,-0.6131578947368420
29.4,11,Lb,3,0,0,1,17.265789473684200,2.1868421052631600
5,6.7,Cp,1,1,0,0,-7.134210526315790,-2.1131578947368400
7.8,7.1,Cp,1,1,0,0,-4.334210526315790,-1.7131578947368400
14.6,11.2,Cp,1,1,0,0,2.465789473684210,2.386842105263160
16.8,11.4,Cp,1,1,0,0,4.665789473684210,2.586842105263160
17.7,9.4,Cp,1,1,0,0,5.565789473684210,0.5868421052631590
19.8,10.7,Cp,1,1,0,0,7.665789473684210,1.8868421052631600
19.6,13.1,Cp,1,1,0,0,7.465789473684210,4.286842105263160
22.5,9.4,Cp,1,1,0,0,10.365789473684200,0.5868421052631590
23.6,11.6,Cp,1,1,0,0,11.465789473684200,2.7868421052631600
24.4,10.2,Cp,1,1,0,0,12.26578947368420,1.3868421052631600
26,12.5,Cp,1,1,0,0,13.865789473684200,3.6868421052631600
29.4,11.8,Cp,1,1,0,0,17.265789473684200,2.9868421052631600